URL,Dinosaur,Height,Weight
https://en.wikipedia.org/wiki/Brachytaenius,Brachytaenius,-,-
https://en.wikipedia.org/wiki/Dakosaurus,Dakosaurus,-,-
https://en.wikipedia.org/wiki/Geosaurus,Geosaurus,-,-
https://en.wikipedia.org/wiki/Brachytrachelopan,Brachytrachelopan,-,-
https://en.wikipedia.org/wiki/Bradycneme,Bradycneme,-,-
https://en.wikipedia.org/wiki/Brasileosaurus,Brasileosaurus,-,-
https://en.wikipedia.org/wiki/Brasilotitan,Brasilotitan,-,-
https://en.wikipedia.org/wiki/Bravasaurus,Bravasaurus,-,-
https://en.wikipedia.org/wiki/Bravoceratops,Bravoceratops,-,-
https://en.wikipedia.org/wiki/Breviceratops,Breviceratops,-,-
https://en.wikipedia.org/wiki/Brighstoneus,Brighstoneus,-,-
https://en.wikipedia.org/wiki/Brohisaurus,Brohisaurus,-,-
https://en.wikipedia.org/wiki/Brontomerus,Brontomerus,-,-
https://en.wikipedia.org/wiki/Brontoraptor,Brontoraptor,-,-
https://en.wikipedia.org/wiki/Torvosaurus,Torvosaurus,-,-
https://en.wikipedia.org/wiki/Brontosaurus,Brontosaurus,-,-
https://en.wikipedia.org/wiki/Brontotholus,Brontotholus,-,-
https://en.wikipedia.org/wiki/Bruhathkayosaurus,Bruhathkayosaurus,-,-
https://en.wikipedia.org/wiki/Bugenasaura,Bugenasaura,-,-
https://en.wikipedia.org/wiki/Thescelosaurus,Thescelosaurus,-,-
https://en.wikipedia.org/wiki/Buitreraptor,Buitreraptor,-,-
https://en.wikipedia.org/wiki/Burianosaurus,Burianosaurus,-,-
https://en.wikipedia.org/wiki/Buriolestes,Buriolestes,-,-
https://en.wikipedia.org/wiki/Bustingorrytitan,Bustingorrytitan,-,-
https://en.wikipedia.org/wiki/Byranjaffia,Byranjaffia,-,-
https://en.wikipedia.org/wiki/Byronosaurus,Byronosaurus,-,-
https://en.wikipedia.org/wiki/Caenagnathasia,Caenagnathasia,-,-
https://en.wikipedia.org/wiki/Caenagnathus,Caenagnathus,-,-
https://en.wikipedia.org/wiki/Caieiria,Caieiria,-,-
https://en.wikipedia.org/wiki/Caihong,Caihong,-,-
https://en.wikipedia.org/wiki/Calamosaurus,Calamosaurus,-,-
https://en.wikipedia.org/wiki/Calamospondylus,Calamospondylus,-,-
https://en.wikipedia.org/wiki/Caletodraco,Caletodraco,-,-
https://en.wikipedia.org/wiki/Callovosaurus,Callovosaurus,-,-
https://en.wikipedia.org/wiki/Calvarius,Calvarius,-,-
https://en.wikipedia.org/wiki/Camarasaurus,Camarasaurus,-,-
https://en.wikipedia.org/wiki/Camarillasaurus,Camarillasaurus,-,-
https://en.wikipedia.org/wiki/Camelotia,Camelotia,-,-
https://en.wikipedia.org/wiki/Campananeyen,Campananeyen,-,-
https://en.wikipedia.org/wiki/Camposaurus,Camposaurus,-,-
https://en.wikipedia.org/wiki/Camptonotus_(dinosaur),Camptonotus,-,-
https://en.wikipedia.org/wiki/Campylodon,Campylodon,-,-
https://en.wikipedia.org/wiki/Campylodoniscus,Campylodoniscus,-,-
https://en.wikipedia.org/wiki/Canardia,Canardia,-,-
https://en.wikipedia.org/wiki/Capitalsaurus,Capitalsaurus,-,-
https://en.wikipedia.org/wiki/Carcharodontosaurus,Carcharodontosaurus,-,-
https://en.wikipedia.org/wiki/Cardiodon,Cardiodon,-,-
https://en.wikipedia.org/wiki/Cariocecus_bocagei,Cariocecus,-,-
https://en.wikipedia.org/wiki/Carnotaurus,Carnotaurus,-,-
https://en.wikipedia.org/wiki/Caseosaurus,Caseosaurus,-,-
https://en.wikipedia.org/wiki/Cathartesaura,Cathartesaura,-,-
https://en.wikipedia.org/wiki/Cathetosaurus,Cathetosaurus,-,-
https://en.wikipedia.org/wiki/Centrosaurus,Centrosaurus,-,-
https://en.wikipedia.org/wiki/Caudipteryx,Caudipteryx,-,-
https://en.wikipedia.org/wiki/Caudocoelus,Caudocoelus,-,-
https://en.wikipedia.org/wiki/Teinurosaurus,Teinurosaurus,-,-
https://en.wikipedia.org/wiki/Caulodon,Caulodon,-,-
https://en.wikipedia.org/wiki/Cedarosaurus,Cedarosaurus,-,-
https://en.wikipedia.org/wiki/Cedrorestes,Cedrorestes,-,-
https://en.wikipedia.org/wiki/Centemodon,Centemodon,-,-
https://en.wikipedia.org/wiki/Cerasinops,Cerasinops,-,-
https://en.wikipedia.org/wiki/Ceratonykus,Ceratonykus,-,-
https://en.wikipedia.org/wiki/Ceratops,Ceratops,-,-
https://en.wikipedia.org/wiki/Ceratosaurus,Ceratosaurus,-,-
https://en.wikipedia.org/wiki/Ceratosuchops,Ceratosuchops,-,-
https://en.wikipedia.org/wiki/Cetiosauriscus,Cetiosauriscus,-,-
https://en.wikipedia.org/wiki/Cetiosaurus,Cetiosaurus,-,-
https://en.wikipedia.org/wiki/Chadititan,Chadititan,-,-
https://en.wikipedia.org/wiki/Chakisaurus,Chakisaurus,-,-
https://en.wikipedia.org/wiki/Changchunsaurus,Changchunsaurus,-,-
https://en.wikipedia.org/wiki/Changdusaurus,Changdusaurus,-,-
https://en.wikipedia.org/wiki/Changmiania,Changmiania,-,-
https://en.wikipedia.org/wiki/Changyuraptor,Changyuraptor,-,-
https://en.wikipedia.org/wiki/Chaoyangsaurus,Chaoyangsaurus,-,-
https://en.wikipedia.org/wiki/Charonosaurus,Charonosaurus,-,-
https://en.wikipedia.org/wiki/Chasmosaurus,Chasmosaurus,-,-
https://en.wikipedia.org/wiki/Chassternbergia,Chassternbergia,-,-
https://en.wikipedia.org/wiki/Edmontonia,Edmontonia,-,-
https://en.wikipedia.org/wiki/Chebsaurus,Chebsaurus,-,-
https://en.wikipedia.org/wiki/Chenanisaurus,Chenanisaurus,-,-
https://en.wikipedia.org/wiki/Cheneosaurus,Cheneosaurus,-,-
https://en.wikipedia.org/wiki/Hypacrosaurus,Hypacrosaurus,-,-
https://en.wikipedia.org/wiki/Chialingosaurus,Chialingosaurus,-,-
https://en.wikipedia.org/wiki/Chiayusaurus,Chiayusaurus,-,-
https://en.wikipedia.org/wiki/Chienkosaurus,Chienkosaurus,-,-
https://en.wikipedia.org/wiki/Szechuanosaurus,Szechuanosaurus,-,-
https://en.wikipedia.org/wiki/Chihuahuasaurus,Chihuahuasaurus,-,-
https://en.wikipedia.org/wiki/Sonorasaurus,Sonorasaurus,-,-
